count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_25,first_beacon,second_beacon,third_beacon,b1_mean,b1_std,b1_max,b1_min,b1_norm,b2_mean,b2_std,b2_max,b2_min,b2_norm,b3_mean,b3_std,b3_max,b3_min,b3_norm,unique_beacon_count,location
0,0,0,214,0,68,17,0,68,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,6,9,-92.85514018691589,3.5035256191860484,-86.0,-100.0,1359.3156366348471,-96.5,3.2253658822879094,-93.0,-101.0,796.1972117509581,-94.0,1.0074350466081277,-93.0,-95.0,775.1877192009688,9,kitchen
0,0,0,214,0,68,17,0,68,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,6,9,-92.85514018691589,3.5035256191860484,-86.0,-100.0,1359.3156366348471,-96.5,3.2253658822879094,-93.0,-101.0,796.1972117509581,-94.0,1.0074350466081277,-93.0,-95.0,775.1877192009688,9,kitchen
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-96.25,2.969371007318629,-93.0,-101.0,794.0698961678373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,cafeteria
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-96.25,2.969371007318629,-93.0,-101.0,794.0698961678373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,cafeteria
0,0,0,136,17,0,34,0,47,0,0,0,0,0,0,0,0,34,17,0,0,0,0,0,0,4,9,7,-94.5,2.6555323104514947,-90.0,-98.0,1102.481745880629,-93.44680851063829,1.247754690186534,-92.0,-95.0,640.6949352070766,-95.0,3.0451153135353137,-92.0,-98.0,554.2165641696394,11,cafeteria
0,0,0,340,17,0,34,0,102,0,0,0,0,34,0,0,0,34,17,0,0,0,0,0,0,4,9,7,-92.75,3.838075814611035,-81.0,-98.0,1711.684842487074,-95.33333333333333,2.5067565463838433,-92.0,-99.0,963.1490019721767,-95.0,3.0451153135353137,-92.0,-98.0,554.2165641696394,13,cafeteria
0,0,0,238,0,0,0,0,55,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,4,9,14,-91.92857142857143,3.926425519458544,-81.0,-97.0,1419.4925149503256,-96.94545454545455,2.1638287552749795,-92.0,-99.0,719.1425449797836,-96.66666666666667,3.897007398846793,-93.0,-102.0,690.8878346012469,8,cafeteria
0,0,0,51,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,4,14,0,-95.66666666666667,2.8959742171964646,-92.0,-99.0,683.5034747534207,-94.0,1.0150384378450958,-93.0,-95.0,548.1404929395383,0.0,0.0,0.0,0.0,0.0,5,cafeteria
0,0,0,17,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,14,4,0,-95.5,2.1067566649521248,-93.0,-100.0,1364.3430653614948,-99.0,0.0,-99.0,-99.0,408.1874569361484,0.0,0.0,0.0,0.0,0.0,6,kitchen
0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,14,0,0,-95.61538461538461,2.062993954412867,-93.0,-100.0,1421.7541981650695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,kitchen
